ISO_A3,NAM_0,year,total_vol,total_fp,building_height,total_surface_area
UKR,Ukraine,2000,1296247082.0,3255505625.0,0.3981707394531072,3255596498.7725997
UKR,Ukraine,2000,1296247082.0,225282439.0,5.753875391947439,225627888.1380682
UMI,U.S. Minor Outlying Islands (U.S.),2000,109135.0,43645.0,2.5005155229694123,45734.56937802703
UMI,U.S. Minor Outlying Islands (U.S.),2000,109135.0,76428.0,1.4279452556654628,78007.05696149087
UMI,U.S. Minor Outlying Islands (U.S.),2000,109135.0,0.0,0.0,0.0
UMI,U.S. Minor Outlying Islands (U.S.),2000,109135.0,0.0,0.0,0.0
UMI,U.S. Minor Outlying Islands (U.S.),2000,109135.0,0.0,0.0,0.0
UMI,U.S. Minor Outlying Islands (U.S.),2000,109135.0,1108.0,98.49729241877256,14222.573272888596
UMI,U.S. Minor Outlying Islands (U.S.),2000,109135.0,0.0,0.0,0.0
UMI,U.S. Minor Outlying Islands,2000,191075.0,43645.0,4.377935616909153,47303.44567651546
UMI,U.S. Minor Outlying Islands,2000,191075.0,76428.0,2.500065421049877,79192.63379224694
UMI,U.S. Minor Outlying Islands,2000,191075.0,0.0,0.0,0.0
UMI,U.S. Minor Outlying Islands,2000,191075.0,0.0,0.0,0.0
UMI,U.S. Minor Outlying Islands,2000,191075.0,0.0,0.0,0.0
UMI,U.S. Minor Outlying Islands,2000,191075.0,1108.0,172.45036101083033,24069.16816893928
UMI,U.S. Minor Outlying Islands,2000,191075.0,0.0,0.0,0.0
UMI,U.S. Minor Outlying Islands (U.S.),2000,0.0,43645.0,0.0,43645.0
UMI,U.S. Minor Outlying Islands (U.S.),2000,0.0,76428.0,0.0,76428.0
UMI,U.S. Minor Outlying Islands (U.S.),2000,0.0,0.0,0.0,0.0
UMI,U.S. Minor Outlying Islands (U.S.),2000,0.0,0.0,0.0,0.0
UMI,U.S. Minor Outlying Islands (U.S.),2000,0.0,0.0,0.0,0.0
UMI,U.S. Minor Outlying Islands (U.S.),2000,0.0,1108.0,0.0,1108.0
UMI,U.S. Minor Outlying Islands (U.S.),2000,0.0,0.0,0.0,0.0
UMI,U.S. Minor Outlying Islands (U.S.),2000,0.0,43645.0,0.0,43645.0
UMI,U.S. Minor Outlying Islands (U.S.),2000,0.0,76428.0,0.0,76428.0
