ISO_A3,year,total_vol,total_fp,building_height,total_surface_area
SWZ,2030,9331673070.0,3190088970.0,2.92520777876612,3190749843.1515594
SXM,1975,216199875.0,30892500.0,6.998458363680505,31048092.587145813
SXM,1980,235502880.0,34726830.0,6.78158300080946,34886684.04981543
SXM,1985,257144640.0,39166665.0,6.565395343208312,39331018.580891296
SXM,1990,282541365.0,44598525.0,6.335217700585389,44767756.725474656
SXM,1995,287244255.0,45481155.0,6.315676349908,45651525.97160962
SXM,2000,292075020.0,46411845.0,6.293113751457198,46583335.46969761
SXM,2005,294871005.0,47063685.0,6.265361605237669,47235613.98409401
SXM,2010,297834285.0,47769735.0,6.234790396053066,47942103.64400387
SXM,2015,303411765.0,49097430.0,6.179789145786246,49270636.03832665
SXM,2020,319918395.0,53087325.0,6.0262670044120705,53262957.054837056
SXM,2025,319918395.0,53087325.0,6.0262670044120705,53262957.054837056
SXM,2030,323209950.0,53965620.0,5.989182557339284,54141609.24489404
SYC,1975,113722845.0,31234455.0,3.6409421902831345,31315848.69060162
SYC,1980,144864735.0,39939240.0,3.627127982405274,40030930.16819548
SYC,1985,177197715.0,48981990.0,3.61760955404221,49083264.450617194
SYC,1990,212089125.0,58817355.0,3.605893617623574,58927972.96036484
SYC,1995,218911665.0,60503295.0,3.6181775719818234,60615869.33288619
SYC,2000,225811245.0,62207445.0,3.6299713804352516,62321965.80032766
SYC,2005,239079165.0,64596060.0,3.701141602134867,64715046.77867966
SYC,2010,252703770.0,67045020.0,3.769165405573747,67168469.24837306
SYC,2015,265104810.0,69384300.0,3.820818398398485,69511605.44909324
SYC,2020,271087200.0,71033535.0,3.8163270348293943,71162193.14611791
SYC,2025,271636440.0,71094945.0,3.8207560326546424,71223808.12532723
SYC,2030,274672500.0,72161895.0,3.806337125708797,72291231.53059588
SYR,1975,44429064285.0,7808466840.0,5.689857586050785,7810477989.118144
SYR,1980,46775710965.0,8278710315.0,5.650120512158542,8280766674.517182
SYR,1985,49153043835.0,8757975075.0,5.612375396603878,8760075990.358171
SYR,1990,51557398500.0,9245370555.0,5.576563772462011,9247515364.998774
SYR,1995,57138712050.0,10227160710.0,5.586957482161244,10229420733.202744
SYR,2000,62983722390.0,11261925000.0,5.592624918919279,11264299007.027199
SYR,2005,67328587170.0,12122632770.0,5.553957498128519,12125078795.712215
SYR,2010,71835048405.0,13016827245.0,5.518629620946467,13019345755.75344
SYR,2015,76001937510.0,13854747165.0,5.485624284938007,13857329932.73747
SYR,2020,78461128800.0,14387064075.0,5.453588612032369,14389680621.482708
SYR,2025,79635718440.0,14737377510.0,5.403656002295079,14740001473.49958
SYR,2030,80434734075.0,14982240330.0,5.36867199453074,14984868873.944365
TCA,1975,10253685.0,3258270.0,3.146972166210903,3280991.993326676
TCA,1980,11281800.0,3619680.0,3.116794854793794,3643399.3781344495
TCA,1985,12673200.0,4120155.0,3.075903697797777,4145129.08024106
TCA,1990,14454240.0,4756680.0,3.038724488508792,4783189.606726855
TCA,1995,16046415.0,5372760.0,2.986624193152123,5400451.041512333
TCA,2000,18550695.0,6352440.0,2.920247180610915,6381880.819220157
TCA,2005,19951935.0,6893340.0,2.8943784870614246,6923736.960753141
TCA,2010,21579225.0,7524075.0,2.8680236441024314,7555543.009793161
TCA,2015,49278345.0,16947105.0,2.907773628593202,16994986.565897822
TCA,2020,215010480.0,73172550.0,2.9384035406720144,73273091.5381393
TCA,2025,240836205.0,83257125.0,2.8926798156914497,83362702.42403308
TCA,2030,252795510.0,87969840.0,2.8736611320425274,88077650.84408848
TCD,1975,10630119540.0,2427302145.0,4.379396920938328,2428165195.5225782
TCD,1980,11856576540.0,2727373140.0,4.34725134090013,2728281267.905194
TCD,1985,13527683775.0,3142063230.0,4.305350588059299,3143028560.379058
TCD,1990,15424893435.0,3623474700.0,4.2569342170375855,3624499689.8080087
TCD,1995,16661614410.0,3941669235.0,4.227045298995008,3942730776.5120697
TCD,2000,18337571385.0,4405104150.0,4.1628008693052125,4406209306.3371935
TCD,2005,20072976135.0,4917255570.0,4.082150266393414,4918400582.872429
TCD,2010,22460473005.0,5653840350.0,3.972604745551402,5655035182.7524605
TCD,2015,25593666270.0,6676755405.0,3.8332490435150217,6678008285.819549
TCD,2020,30170127570.0,8327676555.0,3.6228745642006985,8328998992.675035
TCD,2025,32391314070.0,9188570025.0,3.5251746443538696,9189921676.073654
TCD,2030,33550829085.0,9635506395.0,3.4819995659397827,9636873575.879393
TGO,1975,8979319425.0,1442869245.0,6.223238492411001,1443814806.8120995
TGO,1980,10734043095.0,1753268775.0,6.122303236136741,1754294188.6084712
TGO,1985,13225335540.0,2193150705.0,6.030290353439255,2194280325.207524
TGO,1990,16064399970.0,2708220195.0,5.931718550677155,2709454954.891202
TGO,1995,19980228420.0,3216988080.0,6.2108493793362145,3218397160.206554
TGO,2000,24500738415.0,3840821085.0,6.379036636381098,3842402431.8080983
TGO,2005,27575814480.0,4371098220.0,6.308669604774976,4372766592.6328945
TGO,2010,31517020920.0,5107601865.0,6.170610347680261,5109365857.088041
TGO,2015,35845236060.0,6007880310.0,5.966369869309197,6009730135.662646
TGO,2020,39470403015.0,7040467080.0,5.60621938381395,7042348695.21452
TGO,2025,41414050455.0,7740197895.0,5.350515712492646,7742080814.128067
TGO,2030,42642971820.0,8163765315.0,5.223444106317992,8165653142.02525
THA,1975,125520848865.0,22991442150.0,5.459459569612078,22994753405.95392
THA,1980,150384268275.0,29619735180.0,5.077164510793577,29623230378.237278
THA,1985,184267215915.0,39003178185.0,4.724415406380043,39006910326.20582
THA,1990,224539269105.0,50457691980.0,4.450050335120382,50461690401.78812
THA,1995,263922355365.0,58610117820.0,4.503016973546155,58614478456.368065
THA,2000,310640508675.0,68553491640.0,4.5313593989681715,68558237372.88534
THA,2005,340916404050.0,76054545675.0,4.482525022328325,76059490435.96356
THA,2010,376157370600.0,84935389155.0,4.428747243549378,84940551954.11395
THA,2015,410428100730.0,93989376315.0,4.3667499117610244,93994731293.05434
THA,2020,428601520440.0,100337118345.0,4.271614807257,100342530657.77902
THA,2025,449214797280.0,107578353825.0,4.1756987470801725,107583832197.99376
THA,2030,462068333700.0,112213180890.0,4.117772351119384,112218698414.38521
TJK,1975,19009721880.0,3288327360.0,5.780970018751418,3289653374.37249
TJK,1980,21979075245.0,3929894970.0,5.592789479816556,3931297392.708352
TJK,1985,25869841485.0,4800928575.0,5.388507885685427,4802422026.545077
TJK,1990,30344668635.0,5836188525.0,5.199398289656862,5837777356.108462
TJK,1995,34950379395.0,6667637055.0,5.241793922899722,6669349142.317006
TJK,2000,40064821665.0,7633459845.0,5.248579605910012,7635294111.7457285
TJK,2005,43471954995.0,8357471835.0,5.201567633521076,8359373927.801387
