Countries,Region,Start_Year,End_Year,ΔTotal,Δtotal_CE/energy_consumption,Δenergy_consumption/GDP,ΔGDP/Population,Δbuilt_surface/Population,Δcement_CS/built_surface
Iceland,Europe,2000,2005,-22.10344508633247,-3.18625189093909,-38.58911153101786,40.45264160199462,-0.131764192834175,-20.648959073535995
Iceland,Europe,2005,2010,-8.751372662415996,-32.38562075024308,35.45995579627927,-15.250428087272288,0.7095154514205417,2.715204927399559
India,Asia,1975,1980,4.340704770634758,-1.8178523505180944,-31.147849462669196,39.891277000274755,-7.3428915501419665,4.758021133689251
India,Asia,1980,1985,-15.832892813241273,1.0486731360686545,2.768987874339735,7.556349267566561,-8.319458839566096,-18.88744425165018
India,Asia,1985,1990,0.7056883356839023,0.8327844757891312,3.182250993813338,13.307046803528868,-7.082412190021693,-9.533981747425742
India,Asia,1990,1995,0.8522165914371129,-0.20366754558975209,8.733068007802814,0.83126013185113,-1.5813748291179066,-6.927069173509148
India,Asia,1995,2000,-10.103375871656723,-0.7824924265546794,-1.9365351717782822,9.831464944659215,-2.379640341503889,-14.836172876479079
India,Asia,2000,2005,-5.284011096059501,0.6447136418272059,-17.788754787150594,24.14811402032471,-0.9192368636357866,-11.368847107425042
India,Asia,2005,2010,-5.056897242587539,0.3280094467768802,-18.701612469157805,29.36186541467889,-2.299178707648947,-13.745980927236545
India,Asia,2010,2015,-3.9869456986806853,0.5734335946660443,0.4333466848462469,6.727070503127968,-2.9146847758470975,-8.806111705473842
India,Asia,2015,2020,-0.4196854628813824,-1.9061314705894716,-5.177334402840521,7.266081968676466,-4.218106062388745,3.615804504260886
Indonesia,Asia,1975,1980,-116.79889324580299,-1.8868521923669306,-25.102218348830718,82.49350833552553,-7.799611560646842,-164.50371947948406
Indonesia,Asia,1980,1985,-18.584915107879873,-3.9157637176242712,7.395795142441631,2.647331090516095,-5.130148774944293,-19.582128848269008
Indonesia,Asia,1985,1990,9.409329792239681,2.627830139131671,7.378799642664803,6.022590850478351,-5.297019280563053,-1.3228715594721034
Indonesia,Asia,1990,1995,-12.075362329988586,0.37566162813862025,-12.817080432374699,26.27246710696861,0.2731265489411274,-26.179537181662248
Indonesia,Asia,1995,2000,8.564485859276132,0.9010151493290902,22.39082384742605,-12.686422713979168,-0.5357804028527525,-1.505150020647062
Indonesia,Asia,2000,2005,-8.20689790363614,1.6038988030579073,-16.04683003641875,21.95699527232207,0.28398933197289555,-16.004951274570267
Indonesia,Asia,2005,2010,1.9552689635961684,1.395641511581666,-32.53899826030917,38.507661842760925,-0.1575638648881444,-5.251472265549131
Indonesia,Asia,2010,2015,-11.601333481347027,0.8244428214531774,-1.9151777586949215,2.656379152995591,-0.15524498137964715,-13.011732715721223
Indonesia,Asia,2015,2020,5.179084760802134,-0.7984221939138418,-3.152022514208993,5.4679935717230315,0.5033373185132775,3.1581985786886566
Iran,Unknown,1975,1980,-43.37858430781783,1.7511110681761748,-27.590364513315173,32.135754929519756,7.661446354124626,-57.33653214632321
Iran,Unknown,1980,1985,15.990857083447352,1.0720944201512679,-11.19461493689315,26.94885189008057,9.182611616737102,-10.018085906628462
Iran,Unknown,1985,1990,-0.11546576523120677,-4.344688476834373,41.33936636133089,-36.89852206116992,7.8105035463427965,-8.022125134900579
Iran,Unknown,1990,1995,0.49651353337237936,-0.1792151665589832,36.38418775672384,-23.87559388793294,-2.125929098471311,-9.7069360703882
Iran,Unknown,1995,2000,10.824269478054177,-1.8120166547684478,11.221695209771996,3.9597777002481314,-2.755132776982626,0.2099459997851225
Iran,Unknown,2000,2005,-15.710543526704939,-2.5383224801455735,-28.701116403281528,47.56140834907397,-3.3305259603221162,-28.701987032029688
Iran,Unknown,2005,2010,-15.2843825265889,-0.6661016985251893,-30.906341567491797,39.412631648651704,-2.149931828294576,-20.974639080929016
Iran,Unknown,2010,2015,5.7857655802474,-2.273756899028914,15.75063492333468,-13.49048663445715,-0.7069259030991616,6.506300093497914
Iran,Unknown,2015,2020,6.825623316274424,-1.810140634922008,43.37630072211777,-35.01833950585813,0.17074612580435267,0.10705660913245543
Iraq,Asia,1975,1980,-10.37716628995264,-0.29462735927023104,-21.411487827476552,35.54750819066846,2.591790506573049,-26.810349800447362
Iraq,Asia,1980,1985,-1.1428029918964242,0.3049324421654502,10.856728049185309,-5.435363016590002,1.761691392081734,-8.63079185873892
Iraq,Asia,1985,1990,-0.9708201027193084,-1.5261284684565053,-18.742711593381166,27.72008641976767,1.0987528756462637,-9.520819336295581
Iraq,Asia,1990,1995,3.647943020570956,1.2629297672368887,74.00852307155608,-68.47984930392424,2.287472483980828,-5.4311329982785965
Iraq,Asia,1995,2000,68.93066893311064,1.5266846727979277,-76.00418242424938,62.07749802385203,4.67550223904607,76.65516642166399
Iraq,Asia,2000,2005,-21.801843908725317,-1.0423160830709775,-6.588864758155779,-9.919677575587777,4.0965296504675415,-8.34751514237837
Iraq,Asia,2005,2010,-23.80096106653952,-0.6738624360044888,-48.99644531227748,56.57195212214985,-0.8898827704557712,-29.812722669951608
Iraq,Asia,2010,2015,-0.36987013940073865,1.2059713851099605,1.1987086680681271,-0.15066393075068543,4.899386878260149,-7.5232731400883015
Iraq,Asia,2015,2020,-25.479722622860717,-2.0214405398381947,2.867834133846442,-1.3395718236019405,1.8648825506170346,-26.85142694388406
Ireland,Europe,1975,1980,-10.663715898291215,-1.1534910695904386,-46.89084025258678,55.1935438389225,-1.6296726797202317,-16.18325573531629
Ireland,Europe,1980,1985,18.373349310461492,-1.4000802485407904,1.688978241883965,-4.42970838469139,-3.6650919665581676,26.179251668367865
Ireland,Europe,1985,1990,1.003544689650795,-0.5043279567426782,-59.10117936413165,72.95891247504613,-7.389342424903652,-4.96051803961734
Ireland,Europe,1990,1995,1.5950187167733816,-3.1362229994727615,-17.8739809869486,27.213931842978802,-3.110397738713332,-1.4983114010706953
Ireland,Europe,1995,2000,-26.70754471312052,-1.062669928904663,-8.526142374806213,23.549539319637212,-0.711779162773734,-39.956492566273134
Ireland,Europe,2000,2005,-5.773582860350061,-0.41418088055716124,-38.421699288922234,38.61139120395998,1.0316043967813782,-6.5806982916120145
Ireland,Europe,2005,2010,8.621256709834178,-3.7072071107307956,-6.404176310783032,-2.7302839724898043,1.2929019631134224,20.170022140724384
Ireland,Europe,2010,2015,-11.316956318944989,-4.142014576373516,-17.04341180646036,14.331829907942529,-1.8363451070501844,-2.627014737003465
Ireland,Europe,2015,2020,0.11181608114745245,-7.655698957717233,-20.296407069577793,17.190963044270696,1.0715539702778591,9.801405093893951
Israel,Asia,1975,1980,9.826014031898104,-0.31208845772166965,-12.693097442405533,16.975803895896604,3.761992793318454,2.0934032428102527
Israel,Asia,1980,1985,-0.6456415985465824,4.080697612614904,-3.8871885787381566,2.3049814843556367,2.6462140117965474,-5.790346128575526
Israel,Asia,1985,1990,1.3171418058745274,-0.2047620816996878,-27.132928575642126,36.943047400477,3.1942510226274012,-11.48246595988807
Israel,Asia,1990,1995,8.81684157921709,-0.6944331399752329,-6.7222357828150345,21.561173953218848,1.6808407574437882,-7.008504208655276
Israel,Asia,1995,2000,-23.46315450163361,-0.8166726128731692,-5.315309393247967,7.003516221132491,-0.569223932836721,-23.765464783808223
Israel,Asia,2000,2005,18.014078916623077,0.22718285521528006,-0.3721857752537677,-0.9464675201343317,0.7125740427683462,18.392975314027524
