,Countries,Year,total_CE,cement_CS,energy_consumption,Population,GDP,cement_production,built_surface,total_CE/energy_consumption,energy_consumption/GDP,GDP/Population,built_surface/Population,cement_CS/built_surface,CFP
28,Australia,2015,407.6,2.607414749,5.77,0.23815995,1.35177,9.5,5009468928.0,70.64124783362219,4.268477625631579,5.675891349490121,21034052652.429596,5.204972396227626e-10,156.32342348156288
29,Australia,2020,377.0,2.685450235,5.71,0.25649248,1.33038,9.6,5525067264.0,66.02451838879159,4.292006795051038,5.186818732463423,21540854780.615788,4.860484237898321e-10,140.38614273557747
30,Austria,1975,53.6,0.996010206,1.01,0.07578903,0.040059206763,5.628842,657546432.0,53.06930693069307,25.212680969331352,0.5285620724133824,8676010657.479057,1.5147374505105672e-09,53.81470960549575
31,Austria,1980,58.2,1.063148607,1.16,0.07549433,0.082058912997,5.75945,713190912.0,50.17241379310345,14.136185304360643,1.0869546494021471,9446946704.474363,1.4906928693449196e-09,54.74305249219031
32,Austria,1985,54.6,1.01085714,1.14,0.07564985,0.069386774408,4.9885,770162496.0,47.89473684210527,16.429643973600868,0.9172096760006793,10180621587.484972,1.3125244935323363e-09,54.01356713966526
33,Austria,1990,58.2,1.187069346,1.21,0.0767785,0.166463,4.748145,828324608.0,48.09917355371901,7.268882574506046,2.1680939325462205,10788496883.893278,1.4330968011033665e-09,49.028306725393286
34,Austria,1995,61.2,1.442924091,1.32,0.07948278,0.241038,5.0,899902976.0,46.36363636363637,5.47631493789361,3.0325813968761537,11321986674.346317,1.6034218460013183e-09,42.41387359302188
35,Austria,2000,63.7,1.683684218,1.41,0.08011566,0.19729,3.9,974347776.0,45.17730496453901,7.146839677631912,2.462564747017,12161764329.221027,1.7280115575488314e-09,37.83369786269506
36,Austria,2005,74.9,1.839785523,1.53,0.08227829,0.316092,4.736,1043751040.0,48.954248366013076,4.840362932310846,3.8417424572144117,12685619013.22937,1.7626670082168252e-09,40.7112671904637
37,Austria,2010,67.9,1.871758099,1.51,0.08363404,0.392275,4.254,1115524096.0,44.966887417218544,3.8493403862086546,4.690374876067208,13338158673.190964,1.6779181245045916e-09,36.27605513569091
38,Austria,2015,60.6,1.852056889,1.42,0.08642699,0.381971,4.7,1185283968.0,42.676056338028175,3.7175597100303426,4.419580040910832,13714280319.145676,1.5625427652793495e-09,32.72037719787343
39,Austria,2020,56.2,1.819372837,1.44,0.08916864,0.435049,5.404,1243250816.0,39.02777777777778,3.309971980167751,4.878946230423612,13942691242.122791,1.4633996725243252e-09,30.88976533950529
40,Azerbaijan,1975,1e-10,0.168918196,1e-10,0.0568905,1e-22,0.9302205834,441033952.0,1.0,1000000000000.0,1.75776271961048e-21,7752330389.080778,3.8300497100957883e-10,5.92002533581403e-10
41,Azerbaijan,1980,1e-10,0.178526056,1e-10,0.061605,1e-22,0.9545548141000001,464679968.0,1.0,1000000000000.0,1.6232448664881098e-21,7542893726.158591,3.8419141838281265e-10,5.601423245467318e-10
42,Azerbaijan,1985,50.4,0.186765341,0.85,0.0667015,1e-22,0.9960571973,488821760.0,59.294117647058826,8.499999999999999e+21,1.4992166592955182e-21,7328497260.181556,3.8207247770639343e-10,269.85735003155645
43,Azerbaijan,1990,54.4,0.196521557,0.94,0.071752,0.008884848485,1.047260248,513394656.0,57.87234042553192,105.7980900391235,0.12382718927695395,7155126769.985506,3.827884741363572e-10,276.81441583530705
44,Azerbaijan,1995,35.9,0.094482001,0.58,0.0768485,0.002417331193,0.2,574686464.0,61.896551724137936,239.9340238025878,0.031455801908950726,7478174121.811096,1.6440617087511565e-10,379.9665504544088
45,Azerbaijan,2000,28.6,0.141379635,0.48,0.080486,0.005272615723,0.2,638996608.0,59.583333333333336,91.03640872331405,0.06550972495837785,7939226797.206967,2.2125255945020605e-10,202.29221839482045
46,Azerbaijan,2005,33.5,0.477610569,0.6,0.0839185,0.013245421881,1.538,704990080.0,55.833333333333336,45.298670392724496,0.15783673303264478,8400889911.044645,6.774713326462692e-10,70.14082638527206
47,Azerbaijan,2010,24.6,0.568760479,0.46,0.09054332,0.052909294792,1.2788,774116928.0,53.47826086956522,8.69412457316579,0.5843533768366347,8549685697.409815,7.34721665975505e-10,43.251950352197376
48,Azerbaijan,2015,33.9,0.621241132,0.62,0.09649341,0.053076235355,2.683,843228928.0,54.677419354838705,11.681310775964699,0.5500503646311183,8738720374.790361,7.367407727264309e-10,54.568183357183116
49,Azerbaijan,2020,35.2,0.557971703,0.66,0.10093121,0.042693,3.237,904350848.0,53.333333333333336,15.459208769587521,0.42299106490450283,8960071399.124216,6.169858791352623e-10,63.0856364413161
50,Bangladesh,1975,4.7,0.015535538,0.08,0.74700345,0.019448348073,0.093421,520928224.0,58.75,4.113459904137741,0.02603515160873755,697357186.2352175,2.982279954176566e-11,302.5321685029511
51,Bangladesh,1980,7.1,0.061694401,0.13,0.83929765,0.018138049096,0.349195,722787648.0,54.61538461538461,7.167253727892325,0.0216109852041168,861181546.2607336,8.535619164316433e-11,115.08337685294974
52,Bangladesh,1985,8.9,0.049838185,0.17,0.95959099,0.022278423077,0.24035499999999999,1041106304.0,52.35294117647059,7.6307016619819095,0.023216582178413325,1084947977.679532,4.787040939865445e-11,178.5779317605567
