Countries,Years,grad(cement_CS/built_surface),grad(cement_CS),CS_tapio_elasticity
Cyprus,2005 - 2010,-0.131482065,-0.046420915,2.832388506690415
Cyprus,2010 - 2015,-0.549933672,-0.513199874,1.0715779567706794
Cyprus,2015 - 2020,1.7035955510684453,1.7952358026440676,0.9489536408305514
Czechia,1975 - 1980,-0.01023656,0.05848435,-0.175030748
Czechia,1980 - 1985,-0.118096121,-0.059863219,1.9727659517482408
Czechia,1985 - 1990,-0.09646591,-0.039669134,2.431762422727823
Czechia,1990 - 1995,-0.281606672,-0.229923472,1.2247843617774452
Czechia,1995 - 2000,-0.074066835,-0.009915482,7.469817166515032
Czechia,2000 - 2005,0.10401736042511113,0.1724291419866313,0.6032469872939213
Czechia,2005 - 2010,-0.017507993,0.042154134,-0.415332772
Czechia,2010 - 2015,0.063133625,0.125378321,0.5035449859612663
Czechia,2015 - 2020,0.12071548935489684,0.1834740553335871,0.6579431033745644
Denmark,1975 - 1980,-0.143242343,-0.077259219,1.8540485528832087
Denmark,1980 - 1985,-0.178071043,-0.118422228,1.503696103234327
Denmark,1985 - 1990,-0.023788958,0.043146218,-0.551356747
Denmark,1990 - 1995,0.073526797,0.14907069361690628,0.49323442241661863
Denmark,1995 - 2000,0.022967369,0.093140268,0.24658904068719262
Denmark,2000 - 2005,-0.076183034,-0.012806895,5.948595433
Denmark,2005 - 2010,-0.09444774,-0.033413015,2.826675167889099
Denmark,2010 - 2015,0.058803735,0.12160231365289241,0.48357414584138064
Denmark,2015 - 2020,0.2569470329777294,0.3013781367017432,0.8525735668477349
Ecuador,1975 - 1980,1.176771922629234,1.465753041,0.8028446060118584
Ecuador,1980 - 1985,-0.048074366,0.069804696,-0.688698163
Ecuador,1985 - 1990,0.38387118673561305,0.5438930360437426,0.7057843386410636
Ecuador,1990 - 1995,0.037869142,0.1212479285579478,0.3123281541935757
Ecuador,1995 - 2000,0.02192906,0.10220652281156042,0.21455636026661695
Ecuador,2000 - 2005,0.018316691068180728,0.091606048,0.19995067532357763
Ecuador,2005 - 2010,0.5289726756368842,0.6375375557469404,0.8297121806685391
Ecuador,2010 - 2015,0.1787487714705328,0.25141582155648445,0.7109686668242322
Ecuador,2015 - 2020,-0.271843497,-0.245521284,1.1072094961196082
Egypt,1975 - 1980,-0.200673052,-0.081874063,2.450996620740693
Egypt,1980 - 1985,0.7737335749026522,1.0719261683507806,0.7218161080003161
Egypt,1985 - 1990,0.22477352943160706,0.4323518564014973,0.5198856581822431
Egypt,1990 - 1995,0.4227283048968455,0.5599272864425429,0.7549700025919774
Egypt,1995 - 2000,0.3053097153661622,0.44501949920520256,0.6860591859714917
Egypt,2000 - 2005,-0.064659608,0.011088155157671553,-5.831412665
Egypt,2005 - 2010,0.6706096676716083,0.8259307338865979,0.8119441984146876
Egypt,2010 - 2015,0.026808020949240483,0.14743700528222434,0.18182694973981933
Egypt,2015 - 2020,-0.24284094,-0.096543123,2.5153623829428575
Estonia,1975 - 1980,-0.017337096,0.056878775,-0.304807838
Estonia,1980 - 1985,-0.023471796,0.046151724,-0.508578958
Estonia,1985 - 1990,-0.014355484,0.052237829194375925,-0.27481011
Estonia,1990 - 1995,-0.593380639,-0.576891235,1.0285832103442532
Estonia,1995 - 2000,-0.286366279,-0.257825605,1.1106975952500027
Estonia,2000 - 2005,1.0696353857751248,1.1410419924687762,0.9374198257689405
Estonia,2005 - 2010,-0.42587266,-0.405746831,1.0496019380492507
Estonia,2010 - 2015,0.3455606708672753,0.3936986386509558,0.8777288944949629
Estonia,2015 - 2020,0.593262421,0.6581182132761476,0.9014526700587437
Finland,1975 - 1980,-0.121417655,-0.057454735,2.113275008650296
Finland,1980 - 1985,-0.08264587,-0.019197145,4.305112519505897
Finland,1985 - 1990,0.033454465,0.10132850100280556,0.33015849393375235
Finland,1990 - 1995,-0.299729426,-0.241099986,1.243174794
Finland,1995 - 2000,0.25079455638151343,0.3525580482790135,0.7113567754466218
Finland,2000 - 2005,-0.001133299,0.059509064,-0.019044141
Finland,2005 - 2010,0.0615676,0.1257419494355316,0.4896345250427097
Finland,2010 - 2015,-0.046630733,0.006790396,-6.867159607
Finland,2015 - 2020,0.036880691181000694,0.083359166,0.44243114293262187
France,1975 - 1980,-0.038594527,0.039221557,-0.984013117
France,1980 - 1985,-0.150850175,-0.085927365,1.7555545271609982
France,1985 - 1990,-0.01598596,0.055180537,-0.289702871
France,1990 - 1995,-0.165960315,-0.091588413,1.8120230506242319
France,1995 - 2000,0.018646637010133416,0.10614316123817008,0.17567440796579467
France,2000 - 2005,0.015246420106877497,0.091540714,0.16655343213161117
France,2005 - 2010,-0.038477429,0.031666984,-1.215064523
France,2010 - 2015,-0.015497944,0.048328127,-0.320681659
France,2015 - 2020,0.093521623,0.14092244595544917,0.6636389425514183
Germany,1975 - 1980,0.00727657,0.079116723,0.091972591
Germany,1980 - 1985,-0.138988526,-0.08049647,1.7266412499128387
Germany,1985 - 1990,-0.065608995,-0.005190835,12.639392089403529
Germany,1990 - 1995,0.071355167,0.16301630241595574,0.43771797976405025
Germany,1995 - 2000,-0.08725795,-0.011641316,7.495540155043142
Germany,2000 - 2005,-0.130406798,-0.076366459,1.7076449584933768
Germany,2005 - 2010,0.025695459,0.087985603,0.29204163141757095
Germany,2010 - 2015,0.003853207,0.059681844,0.064562458
Germany,2015 - 2020,0.1418914164323673,0.19009675822112973,0.7464168129964234
Greece,1975 - 1980,0.5559624300322927,0.638749464,0.8703920098898182
Greece,1980 - 1985,0.063904459,0.11856661213846258,0.5389751645279299
Greece,1985 - 1990,-0.25467259,-0.217679734,1.169941662897594
Greece,1990 - 1995,-0.250679838,-0.1848181,1.3563597859071057
Greece,1995 - 2000,0.2069338334073608,0.3108915401258013,0.6656142310068189
Greece,2000 - 2005,0.085914984,0.1565813533774058,0.5486923063022188
Greece,2005 - 2010,-0.18757619,-0.135799408,1.381273987549828
Greece,2010 - 2015,-0.480483595,-0.451992201,1.063035144296002
Greece,2015 - 2020,0.060779183,0.090975027,0.6680864512599822
Hong Kong,1975 - 1980,0.9362738236247784,1.1421221822735228,0.81976678
Hong Kong,1980 - 1985,0.23868997836361086,0.3912223107220164,0.6101134107691838
Hong Kong,1985 - 1990,0.021081552650689547,0.16327411218433246,0.1291175457557472
Hong Kong,1990 - 1995,0.7197283002403976,0.9771931019102448,0.7365261777160034
Hong Kong,1995 - 2000,-0.103549748,0.045876169522304756,-2.257157673
Hong Kong,2000 - 2005,0.29846389794497585,0.3656873123581846,0.8161724179608274
Hong Kong,2005 - 2010,-0.093135148,-0.04460125,2.088173496567078
Hong Kong,2010 - 2015,0.052735897,0.10949984659074836,0.48160703738203114
Hong Kong,2015 - 2020,0.6373053912661742,0.7261113907809834,0.8776964517533706
Hungary,1975 - 1980,0.1711007630638384,0.25225236036376075,0.6782920200116359
Hungary,1980 - 1985,-0.180072789,-0.126134866,1.4276210390087836
Hungary,1985 - 1990,-0.009833054,0.052114018248579516,-0.188683478
Hungary,1990 - 1995,-0.229436943,-0.16639859,1.3788394656179723
Hungary,1995 - 2000,0.02490791,0.10532535441208692,0.2364854149707559
Hungary,2000 - 2005,0.051605217793447025,0.11004360524279229,0.46895244552910625
Hungary,2005 - 2010,-0.181980054,-0.137119458,1.3271643256225034
Hungary,2010 - 2015,-0.02950446,0.019036970679674865,-1.549850571
Hungary,2015 - 2020,0.016362993,0.052572955,0.31124354438720797
Iceland,1975 - 1980,-0.178942626,-0.127496456,1.4035105908510808
Iceland,1980 - 1985,-0.127506389,-0.074117614,1.7203250719134775
Iceland,1985 - 1990,-0.042884916,0.014078063494707948,-3.046222627
Iceland,1990 - 1995,-0.24177685,-0.18941628,1.2764312037597612
Iceland,1995 - 2000,0.44486609826862744,0.5450077597819711,0.8162564482505623
Iceland,2000 - 2005,0.3381845336527916,0.4147105648181838,0.8154712282313268
Iceland,2005 - 2010,-0.04740008,0.008127387,-5.832142869
India,1975 - 1980,-0.060874987,0.1563543734535772,-0.389339843
India,1980 - 1985,0.311088766,0.6540540816902458,0.4756315638456131
India,1985 - 1990,0.16488729683263076,0.4555901310008025,0.36192025597749466
India,1990 - 1995,0.1157495594547451,0.267312005,0.4330129487965213
India,1995 - 2000,0.2888051317966203,0.47507353083997916,0.6079166972026055
India,2000 - 2005,0.2503672125914816,0.38731150428172445,0.6464233822741509
India,2005 - 2010,0.35083081183587633,0.526286107,0.666616138
India,2010 - 2015,0.23828335463438025,0.41716848361977255,0.5711921297764266
India,2015 - 2020,-0.088477217,0.07199196,-1.228987467
Indonesia,1975 - 1980,3.4196872791702475,4.3554378045927615,0.7851535098410141
Indonesia,1980 - 1985,0.45163333,0.7907793890627733,0.5711243064010949
Indonesia,1985 - 1990,0.027738554,0.25994878660383347,0.10670776584333092
Indonesia,1990 - 1995,0.7473171949455688,0.8895697381976968,0.8400883740263723
Indonesia,1995 - 2000,0.033800915,0.13022302815756268,0.2595617378325097
Indonesia,2000 - 2005,0.4219086256370674,0.5103034728244621,0.8267798439659034
Indonesia,2005 - 2010,0.13165861911467577,0.2113786848381242,0.6228566480839882
Indonesia,2010 - 2015,0.4168496392452077,0.5106524957890514,0.8163078466915135
Indonesia,2015 - 2020,-0.08780024,-0.056770416,1.5465843991215291
Iran,1975 - 1980,1.1971290690124188,1.318687253438076,0.907818792
Iran,1980 - 1985,0.17868486437524236,0.2439727930214163,0.7323966830988287
